airport,isDTW,lat,long,flightsDTW
HNL,0,21.32062,-157.924228,0
HNM,0,20.7956008911,-156.0140075684,0
HNS,0,59.2438011169,-135.5240020752,0
HOB,0,32.6875,-103.2170029,0
HOM,0,59.6455993652,-151.4770050049,0
HON,0,44.3852005005,-98.2285003662,0
HOT,0,34.4780006409,-93.0961990356,0
HOU,0,29.64539909,-95.27890015,0
HPB,0,61.52389908,-166.1470032,0
HRL,0,26.2285003662,-97.6544036865,0
HRO,0,36.2615013123,-93.1547012329,0
HSL,0,65.69789886,-156.3509979,0
HTS,0,38.36669922,-82.55799866,0
HUS,0,66.04109955,-154.2630005,0
HVN,0,41.26369858,-72.88680267,0
HVR,0,48.54299927,-109.762001,0
HYA,0,41.66930008,-70.28040314,0
HYG,0,55.2062988281,-132.8280029297,0
IAG,0,43.1072998047,-78.9461975098,0
IAN,0,66.9759979248,-160.43699646,0
ICT,0,37.649899,-97.433098,0
IDA,0,43.514599,-112.070999,0
IGG,0,59.3240013123,-155.9019927979,0
IKO,0,52.9416007996,-168.8489990234,0
ILI,0,59.75439835,-154.9109955,0
ILM,0,34.2705993652,-77.9026031494,0
IMT,0,45.8184013367,-88.1145019531,0
INL,0,48.5662002563,-93.4030990601,0
IPL,0,32.8342018127,-115.57900238,0
IPT,0,41.2417984009,-76.9210968018,0
IRC,0,65.830498,-144.076008,0
IRK,0,40.09349823,-92.5448989868,0
ISN,0,48.177898407,-103.641998291,0
ISP,0,40.79520035,-73.10019684,0
ITO,0,19.7213993073,-155.0480041504,0
JAC,0,43.6072998047,-110.7379989624,0
JAN,0,32.3111991882,-90.0758972168,0
JBR,0,35.8316993713,-90.6464004517,0
JHM,0,20.9629001617,-156.6730041504,0
JHW,0,42.15340042,-79.25800323,0
JLN,0,37.1517982483,-94.498298645,0
JNU,0,58.3549995422,-134.5760040283,0
JST,0,40.3161010742,-78.8339004517,0
KAL,0,64.31909943,-158.7409973,0
KFP,0,54.8474006653,-163.4100036621,0
KKA,0,64.9394989014,-161.154006958,0
KKH,0,59.9608001709,-162.880996704,0
KLG,0,61.5363006592,-160.341003418,0
KLN,0,57.5350990295,-153.977996826,0
KLW,0,55.5792007446,-133.076004028,0
KOA,0,19.738783,-156.045603,0
KOT,0,63.0306015015,-163.533004761,0
KPN,0,59.9329986572,-164.031005859,0
KPV,0,55.905998,-159.162993,0
KQA,0,54.1337704415,-165.778895617,0
KSM,0,62.0605011,-163.302002,0
KTN,0,55.35559845,-131.7140045,0
KTS,0,65.3312988281,-166.466003418,0
KUK,0,60.87440109,-162.5240021,0
KVC,0,55.1162986755,-162.2660064697,0
KVL,0,67.7361984253,-164.56300354,0
KWK,0,59.876499,-163.169005,0
KWN,0,59.7551,-161.845,0
KWT,0,60.7902984619,-161.444000244,0
KYU,0,64.8760986328,-157.727005005,0
LAM,0,35.8797988892,-106.268997192,0
LAR,0,41.3120994568,-105.6750030518,0
LAW,0,34.5676994324,-98.4166030884,0
LBB,0,33.663601,-101.822998,0
LBE,0,40.27590179,-79.40480042,0
LBF,0,41.12620163,-100.6839981,0
LBL,0,37.0442009,-100.9599991,0
LCH,0,30.1261005402,-93.2232971191,0
LCK,0,39.813801,-82.927803,0
LEB,0,43.6260986328,-72.3041992188,0
LFT,0,30.20529938,-91.98760223,0
LGB,0,33.81769943,-118.1520004,0
LIH,0,21.9759998322,-159.3390045166,0
LMA,0,63.886002,-152.302002,0
LMT,0,42.156101,-121.733002,0
LNK,0,40.8510017395,-96.7592010498,0
LNS,0,40.1217002869,-76.2960968018,0
LNY,0,20.7856006622,-156.9510040283,0
LPS,0,48.4838981628,-122.93800354,0
LRD,0,27.543800354,-99.4616012573,0
LSE,0,43.879002,-91.256699,0
LUK,0,39.10329819,-84.41860199,0
LUR,0,68.87509918,-166.1100006,0
LWB,0,37.8582992554,-80.3994979858,0
LWS,0,46.3745002747,-117.0149993896,0
LYH,0,37.3266983032,-79.2004013062,0
MAF,0,31.9424991608,-102.202003479,0
MBL,0,44.2723999,-86.24690247,0
MCE,0,37.28469849,-120.5139999,0
MCG,0,62.95289993,-155.6060028,0
MCK,0,40.20629883,-100.5920029,0
MCN,0,32.6927986145,-83.6492004395,0
MEI,0,32.3325996399,-88.7518997192,0
MFE,0,26.17580032,-98.23860168,0
MFR,0,42.3741989136,-122.8730010986,0
MGM,0,32.30059814,-86.39399719,0
MGW,0,39.64289856,-79.91629791,0
MHK,0,39.1409988403,-96.6707992554,0
MKG,0,43.16949844,-86.23819733,0
MKK,0,21.1529006958,-157.095993042,0
MKL,0,35.59989929,-88.91560364,0
MLB,0,28.1028003693,-80.6453018188,0
MLL,0,61.8642997742,-162.026000977,0
MLU,0,32.5108985901,-92.0376968384,0
MLY,0,64.9975967407,-150.643997192,0
MMH,0,37.62409973,-118.8379974,0
MMU,0,40.7994003296,-74.4149017334,0
MOB,0,30.6912002563,-88.2427978516,0
MOD,0,37.62580109,-120.9540024,0
MOT,0,48.2593994141,-101.2799987793,0
MOU,0,62.0954017639,-163.6820068359,0
MRY,0,36.5870018005,-121.8430023193,0
MSL,0,34.74530029,-87.61019897,0
MSO,0,46.91630173,-114.0910034,0
